測定日,支障箇所,支障情報,通称線,走行方向,キロ程,位置,直曲Ｒ,カント,偏い量,検出器No,検出距離X,検出距離Y,基準値,支障量,支障位置,暫定ランク,測定速度,ビデオ確認日,ビデオ確認箇所,ビデオ確認者,ビデオ確認による対象物,支障物確認を行う担当分野,画像ファイル名,支障物確認担当技セ等,現地確認の要否,確認日,確認者所属(会社),確認者,測定要否,測定方法,対象物,支障設備保守技セ等,実キロ程(m),左右別,限界種別,測定位置種別,曲線Ｒ(m),実カント(mm),拡大寸法(mm),実基準値(mm),支障有無,実離れ(mm)X,実高さ(mm)Y,実支障量(mm),支障位置2,確定ランク,チェック,記事,措置計画・結果,TCL(m),ECC、BCCまで(m),曲線Ｒ（大）(m),曲線Ｒ（小）(m),中間TCL(m),EIT、BITまで(m),曲線Ｒ(起)(m),曲線Ｒ（終）(m),BRTからPRC(m),ERTからPRC(m),BRTまで(m),支社（主管）提出日,支社（土木）提出日
2023/7/9 23:25,11,,烏山線,下り,284,左,560,6,-17,24,-1886,1219,1914,28,側方上部,C,29,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,18,,烏山線,下り,511,右,0,0,-6,2,1895,925,1900,5,側方上部,C,26,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,23,,烏山線,下り,544,右,0,0,-19,1,1553,467,1575,22,側方下部,C,25,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,24,,烏山線,下り,545,右,0,0,-20,1,1565,790,1575,10,側方下部,C,25,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,30,,烏山線,下り,571,右,0,0,-14,1,1552,692,1575,23,側方下部,C,24,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,35,,烏山線,下り,830,左,300,45,70,22,-1917,2065,1977,60,側方上部(窓部),C,26,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,39,,烏山線,下り,831,左,300,45,59,23,-1904,2075,1977,73,側方上部(窓部),C,26,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,40,,烏山線,下り,831,左,300,45,65,20,-1966,3014,1977,11,側方上部,C,26,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,48,,烏山線,下り,880,右,300,45,68,3,1972,1507,1977,5,側方上部,C,29,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:26,50,,烏山線,下り,902,右,300,45,-45,2,1908,992,1977,69,側方上部,C,33,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:27,52,,烏山線,下り,919,左,300,45,71,26,-1630,920,1652,22,側方上部,C,34,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:27,55,,烏山線,下り,952,左,300,45,58,26,-1632,713,1652,20,側方下部,C,37,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:27,56,,烏山線,下り,957,右,300,45,62,1,1645,416,1652,7,側方下部,C,37,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:27,57,,烏山線,下り,959,左,300,45,67,26,-1628,406,1652,24,側方下部,C,37,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:27,58,,烏山線,下り,964,右,300,45,69,1,1927,1010,1977,50,側方上部,C,37,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/9 23:27,59,,烏山線,下り,964,右,300,45,70,3,1955,1502,1977,22,側方上部,C,37,,日本線路技術,,草木,保線,,宇都宮保線技術ｾﾝﾀｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
